"FedEx 25kg Box","פדקס - קופסא 25ק""ג"
"FedEx Box","פדקס - קופסא"
"FedEx Envelope","פדקס - מעטפה"
"FedEx Pak","פקדס - חבילה"
"FedEx Tube","פדקס - גליל (TUBE)"
"First Overnight","First Overnight"
"First-Class","מחלקה ראשונה"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free method","Free method"
"Free shipping with minimum order amount","Free shipping with minimum order amount"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Ground","יבשתי"
"Ground Commercial","יבשתי מסחרי"
"Ground Residential","יבשתי מגורים פרטיים"
"Handling Applied","Handling Applied"
"Handling fee","עמלת טיפול"
"Home Delivery","משלוח הביתה"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Priority","International Priority"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid DHL XML code for type %s: %s","Invalid DHL XML code for type %s: %s"
"Invalid DHL XML code type: %s","Invalid DHL XML code type: %s"
"Invalid FedEx XML code for type %s: %s","Invalid FedEx XML code for type %s: %s"
"Invalid FedEx XML code type: %s","Invalid FedEx XML code type: %s"
"Invalid UPS CGI code for type %s: %s","Invalid UPS CGI code for type %s: %s"
"Invalid UPS CGI code type: %s","Invalid UPS CGI code type: %s"
"Invalid USPS XML code for type %s: %s","Invalid USPS XML code for type %s: %s"
"Invalid USPS XML code type: %s","Invalid USPS XML code type: %s"
"Kilograms","קילוגרמים"
"Large","גדול"
"Letter","מכתב"
"Library","ספרייה"
"Machinable","Machinable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)"
"Media Mail","מדיה - אימייל"
"Minimum order amount for free shipping","Minimum order amount for free shipping"
"Next Afternoon","אחה""צ הבא"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","לא"
"Non-rectangular","לא מלבני"
"Order","הזמנה"
"Origin of the shipment","Origin of the shipment"
"Oversize","חריגת גודל"
"Package","חבילה"
"Package Description","תיאור חבילה"
"Packaging","אריזה/מארזים"
"Parcel","Parcel"
"Parcel Post","Parcel Post"
"Password","סיסמא"
"Pickup method","Pickup method"
"Please enter the package weight","הקלד את משקל החבילה"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Pounds","פאונדים"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Receiver","מקבל/נמען"
"Rectangular","מלבני"
"Regular","רגיל"
"Regular Pickup","איסוף רגיל"
"Request Courier","Request Courier"
"Residential","Residential"
"Residential Delivery","Residential Delivery"
"Response is in the wrong format","התגובה בפורמט לא מתאים"
"Round","Round"
"Second Day Service","Second Day Service"
"Sender","השולח"
"Ship to Specific countries","Ship to Specific countries"
"Ship to applicable countries","Ship to applicable countries"
"Shipment Contains Hazardous Materials","Shipment Contains Hazardous Materials"
"Shipment Dutiable","משלוח חייב במכס"
"Shipment Duty Payment Type","משלוח - סוג תשלום למכס"
"Shipment is not available.","שילוח לא אפשרי"
"Shipment picked up","המשלוח נאסף"
"Shipment type","Shipment type"
"Shipper Number","Shipper Number"
"Shipping key","Shipping key"
"Shipping key (International)","Shipping key (International)"
"Show method if not applicable","Show method if not applicable"
"Size","גודל"
"Sort order","מיון לפי"
"Standard Overnight","רגיל - בן לילה"
"Station","תחנה"
"Subtotal","סך ביניים"
"Subtotal With Discount","Subtotal With Discount"
"There is no available method for selected shipping address.","There is no available method for selected shipping address."
"Third Party","צד שלישי"
"Title","כותרת"
"To lower","To lower"
"To upper","To upper"
"Tracking XML URL","כתובת URL לאיתור בפורמט XML"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS type","UPS type"
"USPS","USPS"
"Unable to retrieve tracking","לא יכול לאחזר מידע על איתור"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","שגיאה כללית"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount."
"User ID","ID משתמש"
"UserId","זיהוי משתמש"
"Variable","משנתה"
"Weight Unit","יח' משקל"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"Yes","כן"
"Your Packaging","Your Packaging"
